lr,val_loss,n_params
0.0001,2.361086678504944,3343872
0.0003,1.879404953122139,3343872
0.001,1.6000075876712798,3343872
0.003,1.3509885162115096,3343872
0.01,1.1839164257049561,3343872
0.03,1.1032973229885101,3343872
0.1,1.4111572176218032,3343872
